Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Buster Skrine,CB,Bears,"$16,500,000","$5,500,000","$8,500,000","$2,833,333",51.50%,buster-skrine/270/
William Gholston,43DE,Buccaneers,"$27,500,000","$5,500,000","$13,500,000","$2,700,000",49.10%,william-gholston/2311/
Lane Taylor,LG,Packers,"$16,500,000","$5,500,000","$7,250,000","$2,416,667",43.90%,lane-taylor/2559/
Mark Glowinski,RG,Colts,"$16,200,000","$5,400,000","$4,200,000","$1,400,000",25.90%,mark-glowinski/3982/
Bobby Hart,RT,Bengals,"$16,150,000","$5,383,333","$5,500,000","$1,833,333",34.10%,bobby-hart/4074/
Kyle Van Noy,43OLB,Patriots,"$10,750,000","$5,375,000","$5,500,000","$2,750,000",51.20%,kyle-van-noy/2979/
Brandon Scherff,RG,Redskins,"$21,215,638","$5,303,910","$21,215,638","$5,303,910",100.00%,brandon-scherff/3853/
Josh Allen,QB,Bills,"$21,183,034","$5,295,759","$21,183,034","$5,295,759",100.00%,josh-allen/6892/
Brandon Mebane,43DT,Chargers,"$10,550,000","$5,275,000","$5,250,000","$2,625,000",49.80%,brandon-mebane/1823/
Eric Weddle,S,Rams,"$10,502,050","$5,251,025","$5,250,525","$2,625,263",50.00%,eric-weddle/450/
Allen Bailey,43DT,Falcons,"$10,500,000","$5,250,000","$3,500,000","$1,750,000",33.30%,allen-bailey/489/
Thomas Davis,43OLB,Chargers,"$10,500,000","$5,250,000","$5,250,000","$2,625,000",50.00%,thomas-davis/1195/
Kyle Juszczyk,FB,49ers,"$21,000,000","$5,250,000","$7,000,000","$1,750,000",33.30%,kyle-juszczyk/2298/
James Carpenter,LG,Falcons,"$21,000,000","$5,250,000","$7,000,000","$1,750,000",33.30%,james-carpenter/1545/
Nickell Robey-Coleman,CB,Rams,"$15,675,000","$5,225,000","$6,625,000","$2,208,333",42.30%,nickell-robey-coleman/2473/
Duke Johnson,RB,Texans,"$15,610,000","$5,203,333","$5,957,000","$1,489,250",38.20%,duke-johnson/3925/
Giovani Bernard,RB,Bengals,"$15,500,000","$5,166,667","$5,000,000","$1,666,667",32.30%,giovani-bernard/2247/
Josh Kline,RG,Vikings,"$15,500,000","$5,166,667","$7,250,000","$2,416,667",46.80%,josh-kline/2576/
Ronnie Stanley,LT,Ravens,"$20,484,332","$5,121,083","$20,484,332","$5,121,083",100.00%,ronnie-stanley/4719/
AJ Cann,RG,Jaguars,"$15,055,000","$5,018,333","$6,005,000","$2,001,667",39.90%,aj-cann/3915/
Cordarrelle Patterson,WR,Bears,"$10,000,000","$5,000,000","$5,000,000","$2,500,000",50.00%,cordarrelle-patterson/2210/
Todd Davis,ILB,Broncos,"$15,000,000","$5,000,000","$6,000,000","$2,000,000",40.00%,todd-davis/3680/
Kareem Martin,34OLB,Giants,"$15,000,000","$5,000,000","$7,250,000","$2,416,667",48.30%,kareem-martin/3023/
Patrick Robinson,CB,Saints,"$20,000,000","$5,000,000","$8,000,000","$2,000,000",40.00%,patrick-robinson/1515/
Jason McCourty,CB,Patriots,"$10,000,000","$5,000,000","$5,500,000","$2,750,000",55.00%,jason-mccourty/1718/
DeVante Parker,WR,Dolphins,"$10,000,000","$5,000,000","$4,500,000","$2,250,000",45.00%,devante-parker/3862/
Vernon Davis,TE,Redskins,"$15,000,000","$5,000,000","$7,500,000","$2,500,000",50.00%,vernon-davis/99/
Ty Nsekhe,RT,Bills,"$10,000,000","$5,000,000","$6,600,000","$3,300,000",66.00%,ty-nsekhe/1356/
Mark Ingram,RB,Ravens,"$15,000,000","$5,000,000","$6,500,000","$2,166,667",43.30%,mark-ingram/1511/
Chase Daniel,QB,Bears,"$10,000,000","$5,000,000","$7,000,000","$3,500,000",70.00%,chase-daniel/834/
Tramon Williams,S,Packers,"$10,000,000","$5,000,000","$3,250,000","$1,625,000",32.50%,tramon-williams/1138/
Randall Cobb,WR,Cowboys,"$5,000,000","$5,000,000","$4,000,000","$4,000,000",80.00%,randall-cobb/1130/
Malcom Brown,43DT,Saints,"$15,000,000","$5,000,000","$7,500,000","$2,500,000",50.00%,malcom-brown/3880/
A.J. Klein,43OLB,Saints,"$15,000,000","$5,000,000","$5,700,000","$1,900,000",38.00%,a-j-klein/2312/
Justin Tucker,K,Ravens,"$20,000,000","$5,000,000","$12,500,000","$3,125,000",62.50%,justin-tucker/1384/
T.J. Hockenson,TE,Lions,"$19,821,226","$4,955,307","$19,821,226","$4,955,307",100.00%,t-j-hockenson/7799/
Dion Lewis,RB,Titans,"$19,800,000","$4,950,000","$5,750,000","$1,437,500",29.00%,dion-lewis/745/
Mike Williams,WR,Chargers,"$19,750,056","$4,937,514","$19,750,056","$4,937,514",100.00%,mike-williams/5591/
Ed Oliver,43DT,Bills,"$19,675,154","$4,918,789","$19,675,154","$4,918,789",100.00%,ed-oliver/7800/
Shawn Williams,S,Bengals,"$19,500,000","$4,875,000","$4,000,000","$1,000,000",20.50%,shawn-williams/2233/
Robbie Gould,K,49ers,"$19,000,000","$4,750,000","$10,500,000","$2,625,000",55.30%,robbie-gould/149/
Ty Sambrailo,RT,Falcons,"$14,250,000","$4,750,000","$5,000,000","$1,666,667",35.10%,ty-sambrailo/3907/
Devin Bush,ILB,Steelers,"$18,871,768","$4,717,942","$18,871,768","$4,717,942",100.00%,devin-bush/7801/
Leonard Williams,34DE,Jets,"$18,630,868","$4,657,717","$18,630,868","$4,657,717",100.00%,leonard-williams/3854/
