"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"TreQuan Smith","NOS","WR",82,128.4,25,182,41,58.5,6.6,80,80,176.6,,,,,33.2,277,33,66.6,8.7,95,82,118.6,18.9,233,44,61.6,9,112,2019-09-05
"Jack Doyle","IND","TE",99,174.7,22,211,16,22,3.7,29,86,177.7,,,,,50.6,335,8,17.6,4.7,39,79,112.2,12.3,143,11,16.2,3.3,25,2019-09-05
"Derwin James","LAC","DB",,,,,,,,,15,179.7,,,,,188.8,444,19,79.6,74.4,225,,,,,,,,,2019-09-05
"Greg Zuerlein","LAR","K",169,249.9,27.6,281,1,2.3,0.5,7,131,179.7,,,,,9.6,237,1,1.3,0.6,12,,,,,1,2.2,1.5,18,2019-09-05
"New Orleans","NOS","DST",195,265.1,33.4,295,7,10.2,1.3,15,128,180.6,,,,,16.3,286,3,9.6,3.1,23,,,,,3,12.7,2.9,24,2019-09-05
"Harrison Butker","KCC","K",179,261.6,31.2,302,1,5.4,3.5,14,119,181.4,,,,,7.8,216,1,2.9,1.1,6,,,,,2,4.3,1.7,22,2019-09-05
"Mike Davis","CHI","RB",107,190.1,23.4,232,42,64.2,8.3,98,114,181.5,,,,,34.1,298,46,63.8,8.8,101,104,177.5,16.3,218,36,58.8,4.8,72,2019-09-05
"Justin Tucker","BAL","K",176,223,25.8,263,1,1.1,0.3,3,133,181.7,,,,,11.3,255,1,2.7,1.4,14,,,,,1,3.2,3.1,19,2019-09-05
"Matthew Stafford","DET","QB",113,147.5,23.1,209,12,19.6,1.9,27,123,182.4,,,,,23.7,292,15,23.8,1.9,28,,,,,8,21.3,3.3,27,2019-09-05
"Ty Montgomery","NYJ","RB",185,250.5,49.8,380,48,76.1,11.8,103,99,183.4,,,,,42.7,287,41,63.4,11,94,103,161.8,18.4,230,35,53.5,6.6,78,2019-09-05
"Denver","DEN","DST",158,254.7,24.6,279,2,6,1.9,13,127,183.5,,,,,16.9,246,1,10.3,3.3,22,,,,,2,7.9,2.4,17,2019-09-05
"Jimmy Graham","GBP","TE",183,213.3,18.2,247,21,26.8,3.5,34,52,184.2,,,,,47,291,5,17.7,4.1,34,85,119.5,12.1,173,12,17.8,2.7,30,2019-09-05
"Stephen Gostkowski","NEP","K",186,245.1,18.1,261,2,3.6,1.3,7,135,184.2,,,,,9.4,244,1,4.1,1.3,13,,,,,2,5,1.8,12,2019-09-05
"Houston","HOU","DST",153,250.6,40.4,286,3,6.8,1.3,10,147,184.5,,,,,23.7,330,4,10.3,4,26,,,,,11,23.3,4.4,32,2019-09-05
"Justin Evans","TBB","DB",,,,,,,,,85,185,,,,,100,285,24,44.3,32.5,149,69,73,4,77,19,34.8,11.8,59,2019-09-05
"Wil Lutz","NOS","K",198,269.4,21.5,291,4,5.7,0.9,15,157,185.2,,,,,7.2,244,1,4.9,1,7,,,,,1,3.1,2,13,2019-09-05
"Quincy Enunwa","NYJ","WR",103,176.2,29.3,282,40,77.6,12.8,107,93,185.4,,,,,36.5,292,42,69.4,9.2,104,66,125.3,9.9,156,38,66.6,4.9,86,2019-09-05
"Greg Olsen","CAR","TE",141,233.1,42.8,344,20,30.6,4.7,41,86,186.5,,,,,43.5,325,8,18,3.8,30,62,111.5,11,169,7,15.6,2.6,27,2019-09-05
"Malcolm Brown","LAR","RB",113,224.5,55.1,374,41,70.1,12.2,99,95,186.9,,,,,35.7,267,40,64.1,8.8,84,139,195.6,14,227,43,64.5,5.2,98,2019-09-05
"Derek Carr","OAK","QB",116,174.4,32.8,226,18,25.3,2.7,31,129,188.1,,,,,24.8,293,17,24.1,2.2,29,,,,,15,25,2,30,2019-09-05
"Chase Edmonds","ARI","RB",109,193.8,55.6,371,39,64.9,13.8,98,102,188.2,,,,,31,256,42,64.4,7.1,87,142,197.6,11.6,228,44,64.9,3.3,75,2019-09-05
"Kaimi Fairbairn","HOU","K",217,234.5,17.5,252,4,13.6,7.2,27,138,188.9,,,,,16.2,281,2,6.5,2.3,16,,,,,2,10.3,3.2,23,2019-09-05
"Jacoby Brissett","IND","QB",105,217.2,46.5,267,19,29.9,4.2,38,107,188.9,,,,,26,287,11,24.3,2.5,35,,,,,19,25.6,1.8,31,2019-09-05
"New England","NEP","DST",212,252,45.7,316,11,15.6,1.7,17,148,189.1,,,,,19.9,265,1,10.5,3.4,19,,,,,7,15.1,2.5,25,2019-09-05
"Jason Pierre-Paul","TBB","DL",,,,,,,,,35,191,,,,,186.4,453,11,59.4,28.6,119,,,,,,,,,2019-09-05
"Jake Elliott","PHI","K",229,243.3,10.5,254,3,12.3,4.1,20,160,191.4,,,,,11.9,254,4,8.7,1.8,14,,,,,2,7.1,2.3,12,2019-09-05
"TJ Yeldon","BUF","RB",127,202.9,45.3,310,51,67.1,10.8,94,99,191.6,,,,,35.2,302,41,65.8,7.7,86,80,188.9,19,226,28,62,5.7,77,2019-09-05
"Trey Quinn","WAS","WR",156,196.1,18,226,62,87.2,13,120,103,192.8,,,,,46.6,333,43,69.8,12.4,108,88,134.2,18.1,178,47,69.2,9.2,92,2019-09-05
"Mason Crosby","GBP","K",208,255.3,39.4,317,4,7.4,1.6,11,159,193.7,,,,,17.7,255,5,8.6,2.2,14,,,,,4,14.5,3.4,23,2019-09-05
"Buffalo","BUF","DST",204,249,47.1,314,13,16,1.7,19,151,193.8,,,,,30,345,3,12.1,4.3,28,,,,,4,10.9,2.3,17,2019-09-05
"Derek Barnett","PHI","DL",,,,,,,,,93,195.5,,,,,102.5,298,26,40,8.7,57,,,,,27,33.9,3.1,68,2019-09-05
"Dallas","DAL","DST",192,235.3,55,313,8,15,4.6,23,134,197.2,,,,,26.6,302,2,12.6,4.1,24,,,,,1,5.2,2.4,16,2019-09-05
"Rex Burkhead","NEP","RB",193,228.3,27.8,295,60,74.2,7.7,94,95,197.2,,,,,32,261,44,67.6,6.9,92,134,180.1,14.2,218,42,60.9,6.1,89,2019-09-05
"TJ Hockenson","DET","TE",64,89.8,16.9,181,6,8.5,1.7,14,74,197.9,6,9.3,2.7,28,57.5,389,8,19.1,5.2,45,91,122.9,12,187,10,18.6,3,30,2019-09-05
"Michael Bennett","NEP","DL",,,,,,,,,31,198,,,,,167,365,16,42.8,14.2,88,,,,,26,33.7,4.1,39,2019-09-05
"Andy Dalton","CIN","QB",122,211.9,33.1,275,25,29,2.1,34,155,200.2,,,,,21.1,290,19,25.5,1.7,29,,,,,22,29.2,1.9,32,2019-09-05
"Brett Maher","DAL","K",256,260.5,4.5,265,9,12.6,2.9,17,161,200.2,,,,,24.2,309,2,10.6,2.2,19,,,,,1,9.1,1.6,14,2019-09-05
"Ryquell Armstead","JAC","RB",125,203.2,27.4,257,44,64.6,7.1,78,118,201.3,23,34.2,3.8,53,30.5,285,47,67.3,6.7,95,154,205.1,15.6,228,49,68.3,4.9,86,2019-09-05
"Robbie Gould","SFO","K",240,248.5,8.5,257,10,13.6,3.8,20,163,201.5,,,,,27.6,308,4,10.7,2.8,19,,,,,4,9,2.4,24,2019-09-05
"Marquise Brown","BAL","WR",65,103.2,19.1,148,24,47.6,8.9,72,79,201.9,5,12.1,3.9,27,44.5,322,32,72.3,11.3,108,107,157.3,16.4,205,57,81.1,7.4,103,2019-09-05
"Zay Jones","BUF","WR",129,182.4,30.8,267,48,81.5,16.2,130,110,202.1,,,,,41.8,323,45,73.8,11.8,110,64,117.4,17.6,209,36,61.9,8.7,105,2019-09-05
"Denico Autry","IND","DL",,,,,,,,,92,202.5,,,,,110.5,313,30,48.4,6.8,65,,,,,25,43.7,11.6,57,2019-09-05
"Parris Campbell","IND","WR",75,106.8,25.3,215,30,46.7,9.8,69,115,202.7,5,11.2,3.9,20,42.2,296,46,73.7,11,99,97,150.7,20.3,237,52,78.8,9.4,114,2019-09-05
"Darren Waller","OAK","TE",124,196.1,37.5,250,14,27.7,6.5,45,82,202.8,,,,,64,326,7,19.9,6.6,54,70,124.4,22.4,201,8,18.6,5.2,38,2019-09-05
"Michael Badgley","LAC","K",238,304,66,370,5,10,3.7,14,164,203.8,,,,,28.3,308,1,10.4,2.4,18,,,,,1,6.9,1.9,17,2019-09-05
"Philadelphia","PHI","DST",218,284.7,36.8,353,8,11.4,3.1,24,127,205.3,,,,,26.6,313,1,12.5,4,23,,,,,1,2.7,1.4,7,2019-09-05
"Gus Edwards","BAL","RB",149,232.1,28.7,286,55,75.2,9.6,92,91,208.1,,,,,33.5,280,55,70.5,7.5,93,159,198.5,17,243,53,72,4.7,87,2019-09-05
"Nick Foles","JAC","QB",125,222.2,31.7,280,24,29.4,2.5,35,146,208.9,,,,,27,364,18,26.4,1.9,32,,,,,14,21.9,1.8,25,2019-09-05
"Matt Prater","DET","K",214,262.6,34,303,6,8.9,2,19,162,211.7,,,,,34.7,342,5,12.1,3.6,24,,,,,5,11.8,1.9,21,2019-09-05
"Mecole Hardman","KCC","WR",91,132.4,28.9,207,41,56.4,9.6,84,107,212.3,11,18.9,4.7,32,48.1,350,42,75.5,13.4,113,112,162.1,18.1,230,58,83.2,7.9,108,2019-09-05
"NKeal Harry","NEP","WR",37,62.4,18.5,164,16,28.9,8,44,66,216,1,4.4,1.5,13,71.3,357,28,79.6,22.3,137,115,144.3,34.7,193,66,82,16,98,2019-09-05
"Seattle","SEA","DST",194,288.9,35.5,355,7,15.4,2.6,26,131,216,,,,,32.4,313,4,14.8,4.2,28,,,,,1,4.3,1.8,15,2019-09-05
"Taylor Gabriel","CHI","WR",174,230.9,16.9,274,65,98.6,10.9,127,115,216.7,,,,,38.7,340,52,77.8,10.6,109,83,122.6,11.3,163,45,64.6,5.2,84,2019-09-05
"Robert Foster","BUF","WR",137,176,39.8,279,59,75.6,15.1,114,115,217.5,,,,,58.1,355,46,79.7,16.4,118,106,157.6,20.3,237,56,81.9,9,114,2019-09-05
"Cole Beasley","BUF","WR",157,258.7,39.1,294,60,114.3,16.3,150,102,218.1,,,,,51.9,355,45,77.4,14.2,113,83,130.6,19.1,179,45,67.9,9,93,2019-09-05
"Randall Cobb","DAL","WR",177,226.4,42.9,330,68,91.9,14.8,123,115,218.3,,,,,40.7,333,46,78.1,11.2,110,65,136.6,15.3,179,44,72.2,6.4,93,2019-09-05
"Marcus Mariota","TEN","QB",109,187.8,28.4,259,19,26.1,3.3,34,165,218.9,,,,,24.3,363,23,27.7,1.8,32,,,,,22,27.8,1.4,32,2019-09-05
"Chris Herndon","NYJ","TE",93,133.8,15.3,182,8,14.1,2.3,19,105,219,,,,,47.9,374,12,21.4,4,42,,,,,,,,,2019-09-05
"Jabaal Sheard","IND","DL",,,,,,,,,55,221,,,,,166,387,24,35.8,17.9,95,82,153,71,224,20,37,4.2,43,2019-09-05
"Dontrell Hilliard","CLE","RB",210,261.7,47.2,328,59,77.2,12.5,99,106,221.9,,,,,32.2,313,44,73.9,8.8,98,154,203,15.2,225,49,77,8.7,90,2019-09-05
"Theo Riddick","DEN","RB",230,283.9,40.9,382,67,84.1,10.4,104,111,222.4,,,,,27.1,289,45,74.6,8.3,99,,,,,,,,,2019-09-05
"Kenny Young","BAL","LB",,,,,,,,,41,222.5,,,,,181.5,404,25,81.8,12.6,104,81,155.5,74.5,230,37,65.5,28.5,94,2019-09-05
"Ted Ginn","NOS","WR",225,255,19.6,284,87,107.3,9.8,135,126,223.2,,,,,39,351,50,79,11,114,89,129.1,16.7,213,47,67.7,8.1,107,2019-09-05
"Noah Fant","DEN","TE",59,110.4,22,177,5,10.6,3,20,86,225.1,7,13.3,4,27,46.6,332,8,22,4,30,85,133.7,13.1,187,11,21.7,3,30,2019-09-05
"Pittsburgh","PIT","DST",280,319.5,39.5,359,13,16.8,2.8,23,173,225.8,,,,,29.4,302,5,15.8,3.3,24,,,,,16,26.9,3.9,33,2019-09-05
"DOnta Foreman",,"RB",125,204.7,58.9,330,48,73.3,15.2,97,127,225.9,,,,,62.9,357,49,81.5,19.6,124,193,205.5,12.5,218,67,88.3,16.1,106,2019-09-05
"AJ Brown","TEN","WR",48,87.4,22.6,169,22,39.1,9,62,80,226.9,5,8.1,2.6,16,37.3,311,33,79.9,10.7,104,123,168.5,10.5,203,64,87.5,5.1,101,2019-09-05
"Dallas Goedert","PHI","TE",68,109.4,16.7,135,8,10.8,2.7,23,109,227,,,,,46.3,354,11,21.9,3.8,37,108,136.3,12.8,198,14,22.8,2.9,35,2019-09-05
"Rashard Higgins","CLE","WR",125,216.3,41.4,298,68,89.7,13.1,118,107,228.2,,,,,46.7,315,42,81.1,14.3,132,86,133.8,18,196,46,69.8,8.1,99,2019-09-05
"DJ Chark","JAC","WR",124,181.5,27,249,53,83.2,11.5,101,128,228.6,,,,,37,294,51,81.9,11.4,134,98,155.7,17.7,180,53,81.1,10.5,124,2019-09-05
"Joe Flacco","DEN","QB",137,254.6,37,303,28,33.3,2.3,39,163,229.1,,,,,25.6,386,22,29,1.6,36,,,,,18,26.5,1.7,31,2019-09-05
"Marqise Lee","JAC","WR",132,206.1,29.5,267,57,88.2,10.7,105,104,229.5,,,,,44.7,376,45,82.5,13.5,124,89,164.9,20.7,215,49,86.6,8.8,109,2019-09-05
"Elijah McGuire","CLE","RB",143,219.1,45.1,313,49,75.7,12.8,99,77,232.2,,,,,60.6,359,41,80.3,17,116,157,202.8,18.2,223,51,85,11.4,135,2019-09-05
"Miles Boykin","BAL","WR",85,163.9,22.8,215,40,68.4,10.1,99,115,232.5,16,23.9,3.9,42,55.7,350,50,82.6,15.5,116,83,143.7,19.2,209,45,74.1,9.3,100,2019-09-05
"Robert Quinn","DAL","DL",,,,,,,,,48,234,,,,,186,420,22,51.2,19.4,107,,,,,,,,,2019-09-05
"Andy Isabella","ARI","WR",85,121,26.2,196,39,57,12.3,95,117,235.3,13,17.6,3.1,33,43.6,376,47,83.1,12.8,124,115,176.3,13.7,209,72,91.7,7.4,126,2019-09-05
"David Moore","SEA","WR",142,213,18.7,243,67,91,6.3,106,134,236,,,,,38.7,335,55,84.1,11.9,117,,,,,,,,,2019-09-05
"Tennessee","TEN","DST",135,259,78.8,352,16,20.8,4.1,29,158,236.3,,,,,30.1,307,5,17.7,2.9,28,,,,,15,24.4,3.1,30,2019-09-05
"Dexter Williams","GBP","RB",139,231.4,41.1,297,52,69.4,11.1,95,127,236.7,21,38.8,5.8,49,30,334,49,78.5,8.7,106,,,,,70,86.7,4.2,105,2019-09-05
"Corey Clement","PHI","RB",241,290,36.1,367,58,89,12.4,123,155,236.7,,,,,25.1,332,63,77.9,7.7,101,184,209,10.4,228,63,75.3,3.9,92,2019-09-05
"Benny Snell","PIT","RB",67,205.5,36.8,282,34,64,9.5,87,77,237.3,23,36.8,6.5,50,27.7,336,36,78.3,7.9,109,,,,,58,82.8,4.9,110,2019-09-05
"Nelson Agholor","PHI","WR",119,196.2,25.8,269,45,86.8,10.5,113,101,237.6,,,,,30.9,338,46,82.7,9.1,109,87,149.4,12.5,180,46,77.7,6.3,94,2019-09-05
"Paul Richardson","WAS","WR",171,241.9,21.1,268,64,101.9,8.1,120,131,237.6,,,,,42.7,346,53,83.7,12.4,113,98,154.7,15.3,180,53,79.7,6.9,91,2019-09-05
"Brian Hill","ATL","RB",170,261.1,33.2,307,53,83.9,18.3,123,119,238.2,,,,,35.1,322,48,78.7,10,105,181,202.2,8.9,215,66,77.4,5.3,106,2019-09-05
"Jatavis Brown","LAC","LB",,,,,,,,,65,240.5,,,,,175.5,416,29,70.4,14.4,105,,,,,59,82,29.1,123,2019-09-05
"Ryan Fitzpatrick","MIA","QB",145,278.4,19,318,31,37,3.3,44,155,242.1,,,,,25.6,399,19,31.1,2.1,36,,,,,19,30.7,1.3,33,2019-09-05
"Eli Manning","NYG","QB",150,282,22.1,317,33,37.8,3.1,45,177,242.2,,,,,23.5,398,26,30.8,1.6,36,,,,,22,29.5,1.2,32,2019-09-05
"Matt Bryant","ATL","K",235,306,71,377,12,17.7,4.5,25,180,242.9,,,,,51.4,342,3,14.3,6.3,30,,,,,3,15.7,4.1,25,2019-09-05
"Willie Snead","BAL","WR",149,229.7,32.5,274,54,98.5,13.7,138,111,242.9,,,,,37.1,340,52,86.2,11.3,114,90,138.5,12.9,170,48,72.6,6.3,88,2019-09-05
"Devontae Booker","DEN","RB",248,295,33.3,346,72,92.9,12.7,125,178,243.2,,,,,26.2,330,65,80,7.2,104,185,211.2,9.3,233,63,70,3.8,85,2019-09-05
"Ty Johnson","DET","RB",167,276,71.5,366,54,86,13.6,113,158,243.3,34,52.8,8.6,70,37.8,337,58,80.6,12.1,110,207,220.3,7.9,227,66,79.8,7.8,124,2019-09-05
"Adam Vinatieri","IND","K",241,305,64,369,10,12.9,1.8,16,179,244.2,,,,,36.4,324,5,14.3,3.2,26,,,,,11,18.3,3.8,29,2019-09-05
"Wayne Gallman","NYG","RB",266,297.6,21.1,320,62,95.3,11.2,120,182,245.7,,,,,20.1,308,68,80.9,6.1,99,195,215.3,9.2,243,66,73,3.1,86,2019-09-05
"Indianapolis","IND","DST",263,309.5,46.5,356,19,24.2,3.5,30,160,246.1,,,,,36.3,315,7,17.6,3.3,26,,,,,7,26.6,4.3,32,2019-09-05
"Darren Sproles","PHI","RB",,,,,80,105.2,16.3,125,150,246.4,,,,,33.4,313,56,79.9,10.3,102,102,204.5,20,240,34,69.3,6.2,81,2019-09-05
"Kansas City","KCC","DST",296,329,33,362,12,23,3.1,26,170,246.6,,,,,40.4,328,2,17.7,4.3,30,,,,,7,15.6,3.1,23,2019-09-05
"Terry McLaurin","WAS","WR",128,169,22.9,219,52,75.1,16.5,129,87,246.8,16,25.8,5.1,42,54.5,384,35,88.2,15,127,106,159.1,18.4,236,56,81.6,8.8,119,2019-09-05
"Jordan Scarlett","CAR","RB",193,289.8,56.6,369,53,87.1,11.1,108,140,247.4,39,56.4,9.7,71,33.9,316,53,81.5,9.9,103,228,229,1,230,70,89.6,6.2,103,2019-09-05
"Preston Williams","MIA","WR",120,203.4,33.2,249,38,83,11.1,101,89,247.7,14,35.4,9.8,58,63.1,374,37,87.3,17.6,122,127,193.5,12.8,210,62,98.8,9,143,2019-09-05
"Alfred Blue","JAC","RB",256,306.7,37.9,347,77,106.3,9.1,122,158,247.8,,,,,34.3,378,58,82.8,11.4,125,,,,,69,94.2,7.8,106,2019-09-05
"Mike Davis",,"WR",,,,,,,,,230,248,,,,,18,266,72,113.8,42.2,183,,,,,,,,,2019-09-05
"John Ross","CIN","WR",134,187,25,239,55,82.6,11,114,136,248.1,,,,,39.8,333,60,88.3,11.8,115,99,143.3,14.6,204,54,74.5,6.7,93,2019-09-05
"Jason Myers","SEA","K",,,,,12,14.8,2.2,18,176,248.4,,,,,35.5,326,3,14,3,22,,,,,1,9.2,2.9,20,2019-09-05
"Danny Amendola","DET","WR",224,267.2,21,284,89,118.6,13.5,140,146,249.1,,,,,39.7,390,63,87.6,11.7,125,95,136.5,14.8,194,46,71.6,6.9,98,2019-09-05
"JJ Arcega-Whiteside","PHI","WR",61,111.6,28.2,188,34,48.8,8.2,69,110,250,7,12.8,4.2,23,50.4,361,45,88.4,14.7,128,131,179.9,12.3,234,69,93,7.2,130,2019-09-05
"Tyler Eifert","CIN","TE",172,244.8,46,347,21,31.3,3.9,40,116,250.5,,,,,44.5,357,11,24.9,3.8,39,85,134.2,15.5,189,10,22,3.5,32,2019-09-05
"Dwayne Haskins","WAS","QB",114,180.1,22.9,221,16,24.7,3.1,31,174,250.9,12,27.6,4,44,27.1,389,24,32.5,2.8,53,,,,,27,34.6,0.5,35,2019-09-05
"Alex Collins",,"RB",,,,,67,102.6,14.2,123,162,251.8,,,,,65.2,361,73,120.4,37.4,172,,,,,95,104,9,113,2019-09-05
"Mike Gesicki","MIA","TE",128,159.4,23.3,206,13,20.7,4,31,137,252.1,,,,,42.1,351,14,25.3,4.1,36,109,158.6,19.1,198,20,27,2.9,35,2019-09-05
"Jordan Wilkins","IND","RB",182,255.4,40.4,359,64,81.1,7.6,96,164,253.1,,,,,29.1,336,62,84,8.1,109,183,213,9.4,228,61,76.7,5.4,99,2019-09-05
"KeeSean Johnson","ARI","WR",128,198.7,33.2,278,39,81.5,13.6,109,134,253.3,17,32.1,7.7,50,52.8,361,55,89.7,16,144,100,170.3,18.9,230,55,88.1,9,111,2019-09-05
"Josh Adams","NYJ","RB",144,254.6,61.1,376,54,85,14.6,117,77,253.5,,,,,39.5,336,36,86.2,10.9,123,175,179,4,183,58,88.2,10.4,136,2019-09-05
"Hunter Renfrow","OAK","WR",186,259.4,36.3,328,76,105.1,13.1,125,133,253.8,26,45.3,6.1,55,55,353,54,90,15.5,130,92,174.2,32.5,213,49,89.3,16.8,130,2019-09-05
"Josh Rosen","MIA","QB",134,199.1,29.8,264,23,28.3,2.4,34,183,254.6,,,,,25.6,394,27,32.9,1.8,37,,,,,32,34.1,0.7,36,2019-09-05
"Bilal Powell","NYJ","RB",,,,,85,106.3,13.4,131,200,254.7,,,,,21.1,339,66,84.3,7.5,100,182,207,20.3,227,60,85.9,7.2,93,2019-09-05
"Doug Martin",,"RB",266,313.7,27.8,355,75,95.8,10.4,116,158,255.6,,,,,44.3,381,59,87.5,14,122,,,,,82,98.5,16.5,115,2019-09-05
"Case Keenum","WAS","QB",232,281.3,23.5,324,32,38.4,2.8,45,172,256.3,,,,,22.1,336,30,33.2,1.7,37,,,,,20,31.3,1.3,33,2019-09-05
"Daniel Jones","NYG","QB",121,212.4,30.9,283,20,27.7,3.2,34,186,259,22,34.5,5.7,51,28.6,392,24,33.5,2.2,39,,,,,35,36.9,0.8,38,2019-09-05
"Antonio Callaway","CLE","WR",136,180.9,29.4,251,58,75.8,9.9,99,131,260.4,,,,,47.8,379,57,93.3,14.3,132,,,,,,,,,2019-09-05
"Qadree Ollison","ATL","RB",187,274.8,43.3,328,62,82.2,8.2,94,153,262.6,35,50.7,9.5,69,23.2,313,57,86.3,7.9,102,,,,,79,94,7.7,105,2019-09-05
"Jay Ajayi",,"RB",152,257.1,44.8,335,51,86.8,16.1,126,78,264.6,,,,,63.1,388,53,95.4,18.8,131,,,,,93,94,1,95,2019-09-05
"Wendell Smallwood","WAS","RB",,,,,73,104,10.9,121,211,264.9,,,,,32.2,362,70,88.2,9.3,115,202,218,11.3,227,69,80.5,8.4,130,2019-09-05
"Spencer Ware","IND","RB",231,283.8,28.5,338,71,83.8,8,100,160,265.3,,,,,35.2,337,65,89.3,12,129,,,,,,,,,2019-09-05
"Carolina","CAR","DST",223,280.6,48.7,357,5,13,3.2,21,175,267.2,,,,,31.7,323,9,19.6,2.9,28,,,,,10,25.7,3.6,31,2019-09-05
"Dan Vitale","GBP","RB",,,,,,,,,223,268,,,,,45,313,72,117.8,33.5,160,,,,,,,,,2019-09-05
"Chris Conley","JAC","WR",184,261.6,30.1,305,70,104.7,11.1,123,147,270,,,,,37.4,350,59,94.8,9.8,113,99,161.7,16.4,197,54,83.9,7.4,100,2019-09-05
"Phillip Dorsett","NEP","WR",181,243.2,25.9,287,81,105.8,14.3,153,164,270,,,,,35.4,385,66,94.2,10.8,125,112,159.8,17.9,230,58,81.8,8.4,111,2019-09-05
"Aldrick Rosas","NYG","K",,,,,16,22,6.5,33,140,270,,,,,30.8,332,4,17.9,4.3,30,,,,,2,21.1,3.9,32,2019-09-05
"Gerald Everett","LAR","TE",145,223.7,27.1,287,17,30.9,4.2,41,126,270.1,,,,,41.1,344,15,27.2,3.8,37,114,144.5,15.3,199,17,25.2,2.7,36,2019-09-05
"Trayveon Williams","CIN","RB",169,233.1,31.3,289,61,73.3,6.4,83,168,270.2,24,39.1,5,64,30.4,335,63,89.2,7.7,107,,,,,77,94.8,5.7,110,2019-09-05
"Damarea Crockett","OAK","RB",239,289.8,44.8,362,67,89.5,10.4,109,138,271.6,43,61.5,7,69,50.7,386,54,91.2,19.6,163,,,,,92,96.5,4.5,101,2019-09-05
"Josh Reynolds","LAR","WR",129,191.9,22,232,53,86.1,16.9,134,183,272.2,,,,,31.3,349,68,96.4,10.5,138,138,184.3,16.6,250,72,95.7,9.9,154,2019-09-05
"Ryan Tannehill","TEN","QB",222,288,35.3,338,30,37,3.6,48,187,272.2,,,,,21.3,334,29,35.8,1.6,40,,,,,34,35.7,0.6,36,2019-09-05
"Green Bay","GBP","DST",193,216,23,239,9,17.4,3,24,132,272.4,,,,,39,330,9,20.7,3.6,32,,,,,6,17.3,2.9,27,2019-09-05
"Myles Gaskin","MIA","RB",162,300.2,50.4,370,59,92.6,10.7,113,168,272.7,39,49.7,9.4,72,25.8,371,63,90.3,8,119,,,,,75,96.3,9.6,107,2019-09-05
"Chris Boswell","PIT","K",221,282,57.7,373,6,12.1,3.8,20,182,272.8,,,,,35.1,332,6,16.9,3.4,33,,,,,14,19.1,2.7,30,2019-09-05
"Demaryius Thomas","NEP","WR",177,260.2,31.5,308,71,105.9,7.8,115,134,273.4,,,,,46.3,375,55,96.2,13.4,126,115,198.1,32.1,244,57,97.2,16.1,117,2019-09-05
"Dan Bailey","MIN","K",230,291.7,61.1,375,4,13.3,4.7,19,185,275.4,,,,,36.3,353,5,17.5,3.7,31,,,,,7,14.7,2.5,23,2019-09-05
"Josh Doctson","MIN","WR",152,221.1,32.8,289,64,97.4,15.3,132,155,275.8,,,,,43.9,369,64,100.8,18.2,170,146,204.3,21.7,241,77,106.6,10.8,142,2019-09-05
"Atlanta","ATL","DST",203,246.3,39.6,309,11,15.8,4.1,32,176,275.9,,,,,34.9,321,8,20.8,3.2,26,,,,,17,22.9,2.3,29,2019-09-05
"Austin Seibert","CLE","K",,,,,,,,,191,276.8,,,,,41,353,8,22.8,6.6,35,,,,,6,21,5.5,30,2019-09-05
"Breshad Perriman","TBB","WR",180,243.6,30.8,295,68,104.8,11.9,124,137,279.2,,,,,37.2,379,57,97.1,10.5,122,65,172.3,15.1,234,37,87.6,7.7,106,2019-09-05
"Jaron Brown","SEA","WR",243,279.8,37,339,95,128.6,19.9,159,140,279.4,,,,,56.5,386,49,99.2,18.6,145,90,169.9,38.2,237,48,86.8,17.4,114,2019-09-05
"Mike Boone","MIN","RB",246,301,46.6,368,74,89.9,9,103,197,279.5,,,,,35.5,397,65,89.2,9.6,112,,,,,71,83.5,5.4,118,2019-09-05
"Jakobi Meyers","NEP","WR",96,232.8,43,296,34,93.6,16.9,133,131,279.6,19,35.2,9.3,54,58.2,375,52,98.2,17.7,137,177,227.1,22.1,251,91,116.3,9.4,131,2019-09-05
"Kyle Juszczyk","SFO","RB",,,,,97,116.4,13.4,146,162,279.6,,,,,37.6,359,61,93,11.8,116,,,,,63,86.2,9.7,102,2019-09-05
"DeAndre Washington","OAK","RB",,,,,65,98,16.4,126,218,279.7,,,,,41.6,364,71,91,12.3,115,,,,,68,91.1,9.2,132,2019-09-05
"CJ Prosise","SEA","RB",335,335,0,335,88,106.4,7.8,122,162,279.7,,,,,44.6,380,61,89.9,11.7,118,,,,,72,90.6,7.4,107,2019-09-05
"Devine Ozigbo","JAC","RB",252,276.7,34.6,347,52,85.4,9.1,111,197,279.9,40,51.7,9,67,46.1,388,69,91.4,12.7,121,,,,,68,99.9,15.2,137,2019-09-05
"Alfred Morris","DAL","RB",227,274.5,47.5,322,67,105.5,9.1,124,160,280.7,,,,,37.6,382,59,91.1,11.7,119,143,212.8,12.1,243,63,74,7.1,110,2019-09-05
"Darrel Williams","KCC","RB",270,318.3,28.5,344,63,94.3,12,116,181,280.9,,,,,28.8,337,69,91.8,9.8,124,,,,,81,102.7,12.7,119,2019-09-05
