PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
598,,,,,,,,,,
599,,,,,,,,,,
600,,,,,,,,,,
601,,,,,,,,,,9
602,,,,,,,,,,
603,,,,,,,,,,9.25
604,,,,,,,,,,9.25
605,,,,,,,,,,10.75
606,,,,,,,,,,9.5
607,,,,,,,,,,9.75
608,,,,,,,,,,10.75
609,,,,,,,,,,
610,,,,,,,,,,9
611,,,,,,,,,,9
612,,,,,,,,,,
613,,,,,,,,,,10
614,,,,,,,,,,8.5
615,,,,,,,,,,10
616,,,,,,,,,,9
617,,,,,,,,,,
618,,,,,,,,,,11
619,,,,,,,,,,9.5
620,,,,,,,,,,9.25
621,,,,,,,,,,
622,,,,,,,,,,8.5
623,,,,,,,,,,9.5
624,,,,,,,,,,8
625,,,,,,,,,,
626,,,,,,,,,,10.25
627,,,,,,,,,,8
628,,,,,,,,,,8.5
629,,,,,,,,,,9
630,,,,,,,,,,9.5
631,,,,,,,,,,8.5
632,,,,,,,,,,8.5
633,,,,,,,,,,9.5
634,,,,,,,,,,8.75
635,,,,,,,,,,
636,,,,,,,,,,9.5
637,,,,,,,,,,
638,,,,,,,,,,10
639,,,,,,,,,,8.5
640,,,,,,,,,,9
641,,,,,,,,,,
642,,,,,,,,,,
643,,,,,,,,,,
644,,,,,,,,,,
645,,,,,,,,,,9.5
646,,,,,,,,,,10.75
647,,,,,,,,,,8.75
648,,,,,,,,,,9.25
649,,,,,,,,,,9
650,,,,,,,,,,
651,,,,,,,,,,10.25
652,,,,,,,,,,8.5
653,,,,,,,,,,8
654,,,,,,,,,,9
655,,,,,,,,,,
656,,,,,,,,,,9
657,,,,,,,,,,8.5
658,,,,,,,,,,10.25
659,,,,,,,,,,9.5
660,,,,,,,,,,8.5
661,,,,,,,,,,9
662,,,,,,,,,,9.5
663,,,,,,,,,,9.5
664,,,,,,,,,,9.75
665,,,,,,,,,,8.5
666,,,,,,,,,,
667,,,,,,,,,,9.25
668,,,,,,,,,,8.75
669,,,,,,,,,,
670,,,,,,,,,,8.5
671,,,,,,,,,,
672,,,,,,,,,,9.5
673,,,,,,,,,,9
674,,,,,,,,,,8.5
675,,,,,,,,,,10.25
676,,,,,,,,,,9.25
677,,,,,,,,,,8
678,,,,,,,,,,9.25
679,,,,,,,,,,
680,,,,,,,,,,8.75
681,,,,,,,,,,10.25
682,,,,,,,,,,10.25
683,,,,,,,,,,11
684,,,,,,,,,,
685,,,,,,,,,,10
686,,,,,,,,,,9.25
687,,,,,,,,,,
688,,,,,,,,,,
689,,,,,,,,,,9
690,,,,,,,,,,
691,,,,,,,,,,
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,,,,,,10
696,,,,,,,,,,
697,,,,,,,,,,
698,,,,,,,,,,9.25
699,,,,,,,,,,9
700,,,,,,,,,,9.5
701,,,,,,,,,,
702,,,,,,,,,,9.5
703,,,,,,,,,,9
704,,,,,,,,,,9.5
705,,,,,,,,,,10
706,,,,,,,,,,9
