Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
226,,Zane GonzalezZ. Gonzalez ARI,K10,,205,332,235.2,24.1
227,,Green Bay (GB)GB DST,DST17,,213,279,236.3,16.0
228,,Ka'imi FairbairnK. Fairbairn HOU,K11,,188,324,236.9,22.2
229,,Ito SmithI. Smith ATL,RB67,,141,280,212.8,28.5
230,,Ryquell ArmsteadR. Armstead JAC,RB68,,138,382,224.3,45.7
231,,Gerald EverettG. Everett LAR,TE28,,142,325,233.5,37.4
232,,Mason CrosbyM. Crosby GB,K12,,189,309,241.9,18.4
233,,Auden TateA. Tate CIN,WR79,,163,262,221.2,17.5
234,,Blake JarwinB. Jarwin DAL,TE29,,127,291,231.2,37.6
235,,Jake ElliottJ. Elliott PHI,K13,,191,326,250.6,22.2
236,,Jacoby BrissettJ. Brissett IND,QB30,,167,284,251.3,35.0
237,,Joey SlyeJ. Slye CAR,K14,,217,326,253.1,22.0
238,,Brandon McManusB. McManus DEN,K15,,226,287,247.5,11.6
239,,Dan BaileyD. Bailey MIN,K16,,221,304,256.9,15.1
240,,Dallas (DAL)DAL DST,DST18,,218,278,250.4,15.2
241,,Cleveland (CLE)CLE DST,DST19,,166,307,251.1,21.5
242,,Andy DaltonA. Dalton CIN,QB31,,154,334,260.8,39.9
Tier 13,
243,,Jakobi MeyersJ. Meyers NE,WR80,,206,290,238.8,17.7
244,,Damien HarrisD. Harris NE,RB69,,187,313,238.9,28.2
245,,Jordan WilkinsJ. Wilkins IND,RB70,,182,312,247.6,22.5
246,,DaeSean HamiltonD. Hamilton DEN,WR81,,198,390,248.0,49.2
247,,Dwayne HaskinsD. Haskins WAS,QB32,,158,315,255.8,40.4
248,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR82,,220,285,240.2,18.2
249,,David MooreD. Moore SEA,WR83,,220,298,248.6,27.1
250,,Willie SneadW. Snead BAL,WR84,,216,286,244.1,17.7
251,,Indianapolis (IND)IND DST,DST20,,219,295,253.3,20.5
252,,Lamar MillerL. Miller HOU,RB71,,110,272,216.4,58.6
253,,Demaryius ThomasD. Thomas NYJ,WR85,,229,304,255.6,24.4
254,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,WR86,,222,301,257.6,24.2
255,,Kelvin HarmonK. Harmon WAS,WR87,,205,383,250.1,40.4
256,,Houston (HOU)HOU DST,DST21,,201,303,271.7,26.2
257,,Darrel WilliamsD. Williams KC,RB72,,185,327,251.6,33.8
258,,Delanie WalkerD. Walker TEN,TE30,,180,319,260.0,20.5
259,,Cameron BrateC. Brate TB,TE31,,191,328,260.3,20.9
260,,Jason MyersJ. Myers SEA,K17,,214,292,273.6,15.0
261,,Keke CouteeK. Coutee HOU,WR88,,209,315,252.9,26.5
262,,Miles BoykinM. Boykin BAL,WR89,,199,298,260.7,20.8
263,,Adam HumphriesA. Humphries TEN,WR90,,226,290,253.2,16.2
264,,Jalen HurdJ. Hurd SF,WR91,,157,341,263.3,30.1
265,,Mike BooneM. Boone MIN,RB73,,158,336,264.2,28.8
266,,Phillip DorsettP. Dorsett NE,WR92,,215,301,257.5,19.3
267,,Demarcus RobinsonD. Robinson KC,WR93,,216,371,267.7,33.6
268,,T.J. YeldonT. Yeldon BUF,RB74,,237,327,260.5,18.9
269,,Greg OlsenG. Olsen CAR,TE32,,153,335,261.1,41.7
270,,Stephen HauschkaS. Hauschka BUF,K18,,224,339,281.6,22.3
271,,Trey BurtonT. Burton CHI,TE33,,191,374,269.7,32.9
272,,Chris BoswellC. Boswell PIT,K19,,233,295,278.8,10.5
273,,Zach PascalZ. Pascal IND,WR94,,214,286,258.6,20.8
274,,Josh ReynoldsJ. Reynolds LAR,WR95,,228,345,269.7,28.9
275,,Jimmy GrahamJ. Graham GB,TE34,,209,327,279.6,16.1
276,,Jacksonville (JAC)JAC DST,DST22,,145,307,279.9,22.8
277,,Brian HillB. Hill ATL,RB75,,149,351,273.8,28.4
278,,Patrick LairdP. Laird MIA,RB76,,143,358,274.3,30.3
279,,Brett MaherB. Maher NYJ,K20,,227,300,282.1,17.7
280,,Keelan ColeK. Cole JAC,WR96,,214,315,276.5,15.7
281,,Greg WardG. Ward PHI,WR97,,196,290,254.4,32.7
282,,Tampa Bay (TB)TB DST,DST23,,165,334,279.0,33.8
283,,Josh LamboJ. Lambo JAC,K21,,236,309,287.8,13.3
284,,Bryce LoveB. Love WAS,RB77,,126,313,275.5,20.5
285,,Geronimo AllisonG. Allison GB,WR98,,240,346,276.1,22.7
286,,Wayne GallmanW. Gallman NYG,RB78,,185,382,286.2,31.4
287,,Atlanta (ATL)ATL DST,DST24,,221,318,297.6,22.4
288,,Dare OgunbowaleD. Ogunbowale TB,RB79,,237,311,282.1,12.6
289,,Kalen BallageK. Ballage MIA,RB80,,123,327,282.6,26.6
290,,Austin SeibertA. Seibert CLE,K22,,226,308,294.8,15.8
291,,Ty MontgomeryT. Montgomery NYJ,RB81,,238,393,297.3,33.8
292,,Steven SimsS. Sims WAS,WR99,,194,333,278.3,39.1
293,,Jordan AkinsJ. Akins HOU,TE35,,232,319,278.5,18.6
294,,Aldrick RosasA. Rosas NYG,K23,,238,309,298.2,8.6
295,,Russell GageR. Gage ATL,WR100,,210,306,279.8,23.5
296,,Ted GinnT. Ginn NO,WR101,,263,378,295.8,26.7
297,,Carolina (CAR)CAR DST,DST25,,266,328,304.9,12.0
Tier 14,
298,,Bo ScarbroughB. Scarbrough DET,RB82,,186,331,295.6,24.2
299,,Younghoe KooY. Koo ATL,K24,,192,299,282.1,28.3
300,,Washington (WAS)WAS DST,DST26,,223,340,311.7,10.3
301,,Myles GaskinM. Gaskin MIA,RB83,,217,317,297.9,21.5
302,,Paul RichardsonP. Richardson WAS,WR102,,268,337,294.9,14.1
303,,Adam VinatieriA. Vinatieri IND,K25,,239,342,306.5,19.0
304,,Bilal PowellB. Powell NYJ,RB84,,250,337,307.8,15.7
305,,Frank GoreF. Gore BUF,RB85,,195,321,290.5,37.6
306,,Dante PettisD. Pettis SF,WR103,,151,363,297.5,24.2
307,,Kendrick BourneK. Bourne SF,WR104,,261,384,298.9,25.8
308,,Ty JohnsonT. Johnson DET,RB86,,217,386,310.7,28.9
309,,Justin WatsonJ. Watson TB,WR105,,223,379,300.9,29.7
310,,Travis HomerT. Homer SEA,RB87,,144,327,301.5,29.2
311,,Detroit (DET)DET DST,DST27,,283,347,318.1,8.9
312,,Marquise GoodwinM. Goodwin SF,WR106,,238,377,309.1,25.7
313,,Qadree OllisonQ. Ollison ATL,RB88,,263,322,304.1,17.7
314,,Zay JonesZ. Jones OAK,WR107,,259,328,298.0,13.1
315,,Mike DavisM. Davis CAR,RB89,,225,353,309.9,23.3
316,,Quincy EnunwaQ. Enunwa NYJ,WR108,,231,344,306.1,21.6
317,,Daniel CarlsonD. Carlson OAK,K26,,285,327,317.3,7.9
318,,Teddy BridgewaterT. Bridgewater NO,QB33,,267,352,318.4,13.0
319,,Jerick McKinnonJ. McKinnon SF,RB90,,129,333,311.1,23.3
320,,Dustin HopkinsD. Hopkins WAS,K27,,287,332,321.9,7.3
321,,KeeSean JohnsonK. Johnson ARI,WR109,,214,375,313.3,30.2
322,,Josh GordonJ. Gordon SEA,WR110,,175,332,302.5,21.9
323,,Oakland (OAK)OAK DST,DST28,,278,330,320.8,10.6
324,,Dontrell HilliardD. Hilliard CLE,RB91,,232,336,319.7,14.7
325,,Kai ForbathK. Forbath DAL,K28,,204,320,308.1,9.5
326,,Jeff WilsonJ. Wilson SF,RB92,,253,343,325.7,10.4
327,,Dexter WilliamsD. Williams GB,RB93,,280,374,330.9,15.2
328,,Nick FolesN. Foles JAC,QB34,,241,343,325.2,23.2
329,,Reggie BonnafonR. Bonnafon CAR,RB94,,308,387,336.7,20.5
330,,Kyle JuszczykK. Juszczyk SF,RB95,,277,334,323.0,11.8
331,,Marcus MariotaM. Mariota TEN,QB35,,275,387,333.3,15.7
332,,C.J. AndersonC. Anderson FA,RB96,,195,380,330.5,26.2
333,,Corey ClementC. Clement PHI,RB97,,264,380,335.4,13.1
334,,Devontae BookerD. Booker DEN,RB98,,274,342,333.3,4.4
