"","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"256","14844","6870","EdwaBr01","00-0036365","28486",NA,NA,"20148","8821"
"257","14845","6943","DaviGa01","00-0036196","55410",NA,NA,"20191","8868"
"258","14846","6849","MimsDe00","00-0036255","47800",NA,NA,"18200","8799"
"259","14847","6847","DuveDe00","00-0036331","40006",NA,NA,"18216","8832"
"260","14848","6957","ProcJa00","00-0036133","48037",NA,NA,"18210","8941"
"261","14850","6895","CephQu00","00-0036277","29614",NA,NA,"20198","8906"
"262","14851","6866","HillKJ00","00-0036382","28025",NA,NA,"899","8960"
"263","14852","6945","GibsAn00","00-0036328","78050",NA,NA,"18260","8806"
"264","14853","6857","JohnCo01","00-0036254","47808",NA,NA,"18316","8905"
"265","14854","6939",NA,"00-0035819","42198","4040628","33040",NA,NA
"266","14855","6873","MackAu01","00-0035869","28070","4040623","33039","18264","9027"
"267","14856","6879",NA,"00-0035978","39931","4035221","33027",NA,NA
"268","14857","6824","PeopDo00","00-0036233","61439",NA,NA,"20154","8927"
"269","14858","6853","JeffVa00","00-0036415","47447",NA,NA,"20150","8797"
"270","14859","7009",NA,"00-0035934","41247","4046715","33253",NA,NA
"271","14861","7002","JohnJu02","00-0036040","28305",NA,NA,"16760","9380"
"272","14862","6913","ReedJo03","00-0036377","40221",NA,NA,"17419","8891"
"273","14863","6906","GandAn00","00-0036340","39993",NA,NA,"18203","8882"
"274","14864","6960","JohnTy00","00-0036427","48054",NA,NA,"18263","8901"
"275","14865","7135","SwaiFr00","00-0036247","26448",NA,NA,"16393","8954"
"276","14866","7076",NA,NA,NA,"4240626","33022",NA,NA
"277","14867","6826","KmetCo00","00-0036290","60995",NA,NA,"20172","8783"
"278","14869","6919",NA,"00-0036023","47191","4036189","33208",NA,NA
"279","14870","6869","TrauAd00","00-0036422","109795",NA,NA,"18270","8845"
"280","14871","6865","ParkCo02","00-0036244","52266",NA,NA,"20158","8873"
"281","14873","6843","OkwuAl00","00-0036423","41933",NA,NA,"15871","8858"
"282","14874","6846","BryaHu02","00-0036008","61072","4243318","33186","20171","9133"
"283","14875","6850","BryaHa00","00-0036232","26394",NA,NA,"19126","8855"
"284","14876","7050","DeguJo00","00-0036332","47034",NA,NA,"18272","8834"
"285","14877",NA,NA,"00-0036321",NA,NA,NA,NA,NA
"286","14878",NA,NA,"00-0036288",NA,NA,NA,NA,NA
"287","14879",NA,NA,"00-0036192",NA,NA,NA,NA,NA
"288","14880",NA,NA,"00-0036341",NA,NA,NA,NA,NA
"289","14881","6861",NA,"00-0036089",NA,"4047458","33320",NA,NA
"290","14882",NA,NA,"00-0036224",NA,NA,NA,NA,NA
"291","14883",NA,NA,"00-0036291",NA,NA,NA,NA,NA
"292","14884",NA,NA,"00-0036160",NA,NA,NA,NA,NA
"293","14885",NA,NA,"00-0036296",NA,NA,NA,NA,NA
"294","14886",NA,NA,"00-0036379",NA,NA,NA,NA,NA
"295","14887",NA,NA,"00-0036356",NA,NA,NA,NA,NA
"296","14888",NA,NA,"00-0036286",NA,NA,NA,NA,NA
"297","14889",NA,NA,"00-0036441",NA,NA,NA,NA,NA
"298","14890",NA,NA,"00-0036276",NA,NA,NA,NA,NA
"299","14891",NA,NA,"00-0036280",NA,NA,NA,NA,NA
"300","14892",NA,NA,"00-0036409",NA,NA,NA,NA,NA
"301","14893",NA,NA,"00-0036418",NA,NA,NA,NA,NA
"302","14894",NA,NA,"00-0036193",NA,NA,NA,NA,NA
"303","14895","7029",NA,NA,NA,NA,NA,NA,NA
"304","14896",NA,NA,"00-0036323",NA,NA,NA,NA,NA
"305","14897",NA,NA,"00-0036220",NA,NA,NA,NA,NA
"306","14898",NA,NA,"00-0036213",NA,NA,NA,NA,NA
"307","14899",NA,NA,"00-0036260",NA,NA,NA,NA,NA
"308","14900",NA,NA,"00-0036130",NA,NA,NA,NA,NA
"309","14901",NA,NA,"00-0036366",NA,NA,NA,NA,NA
"310","14902",NA,NA,"00-0036274",NA,NA,NA,NA,NA
"311","14903",NA,NA,"00-0036361",NA,NA,NA,NA,NA
"312","14904",NA,NA,"00-0036416",NA,NA,NA,NA,NA
"313","14905",NA,NA,"00-0036281",NA,NA,NA,NA,NA
"314","14906",NA,NA,"00-0036359",NA,NA,NA,NA,NA
"315","14908",NA,NA,"00-0036388",NA,NA,NA,NA,NA
