name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Braxton Berrios,WR,NEP,400,496.3,,,,149.3,25.9
DeAndre Carter,WR,HOU,400,496.3,,,,149.5,19.5
Stacy Coley,WR,NYJ,400,496.3,,,,149.5,25.1
Tanner McEvoy,WR,FA,400,496.3,,,,151.1,11
Sammie Coates,WR,FA,400,496.3,,,,154,10.8
Darius Jennings,WR,TEN,400,496.3,,,,154,18
Tommylee Lewis,WR,NOS,400,496.3,,,,154.1,6.9
Eli Rogers,WR,PIT,400,496.3,,,,154.7,18.7
Mike Thomas,WR,LAR,400,496.3,,,,155,9.1
Jaydon Mickens,WR,JAC,400,496.3,,,,155.2,13.5
Marvin Hall,WR,ATL,400,496.3,,,,157.3,11.8
Kaelin Clay,WR,FA,400,496.3,,,,157.5,21.6
Bradley Marquez,WR,FA,400,496.3,,,,158,7.7
Keon Hatcher,WR,OAK,400,496.3,,,,158.5,8.5
Damiere Byrd,WR,CAR,400,496.3,,,,159,10.7
Jordan Taylor,WR,DEN,400,496.3,,,,159,16.8
Noah Brown,WR,DAL,400,496.3,,,,159.4,13.9
Freddie Martino,WR,FA,400,496.3,,,,159.5,2.5
Janarion Grant,WR,BAL,400,496.3,,,,160,27
Michael Campanaro,WR,FA,400,496.3,,,,161,7.5
Leonte Carroo,WR,MIA,400,496.3,,,,163,24
Matt Slater,WR,NEP,400,496.3,,,,164.5,8.5
Russell Gage,WR,ATL,400,496.3,,,,165.8,14.3
Quincy Adeboyejo,WR,BAL,400,496.3,,,,167.5,16.4
Charone Peake,WR,NYJ,400,496.3,,,,168.3,15.6
Damion Ratley,WR,CLE,400,496.3,,,,169.3,25.4
Cody Core,WR,CIN,400,496.3,,,,169.4,16.8
Dylan Cantrell,WR,LAC,400,496.3,,,,170.5,25.5
Markus Wheaton,WR,FA,400,496.3,,,,171.8,11.4
Tanner Gentry,WR,CHI,400,496.3,,,,181,14.4
Andy Jones,WR,DET,400,496.3,,,,183.7,16.5
Jehu Chesson,WR,WAS,400,496.3,,,,184.5,9.5
