"count_col","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"1148","16014","8860",NA,NA,NA,NA,"34355",NA,NA
"1149","16015","8783",NA,"00-0037422",NA,NA,"34476",NA,NA
"1150","16016","8857",NA,NA,NA,NA,"34529",NA,NA
"1151","16017","8733","HummJa00","00-0037633",NA,NA,"34342",NA,NA
"1152","16018","8406",NA,NA,NA,NA,"34376",NA,NA
"1153","16019","8349","HansJa01","00-0037457",NA,NA,NA,NA,NA
"1154","16021","8725",NA,NA,NA,NA,NA,NA,NA
"1155","16022","8241","BrowAn06","00-0037175",NA,NA,"34389",NA,NA
"1156","16023","8795",NA,NA,NA,NA,"34475",NA,NA
"1157","16024","8654",NA,NA,NA,NA,NA,NA,NA
"1158","16025","8820","HairTr00","00-0037456",NA,"4274040","34597",NA,NA
"1159","16026","8702",NA,NA,NA,NA,NA,NA,NA
"1160","16029","8925",NA,NA,NA,NA,NA,NA,NA
"1161","16030","8854","FoxxTo00","00-0037447",NA,"4037520",NA,NA,NA
"1162","16036","8698","TongJa00","00-0037112",NA,NA,"34374",NA,NA
"1163","16043","8932",NA,NA,NA,NA,"34720",NA,NA
"1164","16045","8726",NA,NA,NA,NA,NA,NA,NA
"1165","16049","8564",NA,NA,NA,NA,NA,NA,NA
"1166","16050","8732","WebbRa02","00-0037185",NA,NA,"34407",NA,NA
"1167","16052","8844",NA,NA,NA,NA,NA,NA,NA
"1168","16054","8714",NA,NA,NA,NA,NA,NA,NA
"1169","16055","8776",NA,NA,NA,NA,NA,NA,NA
"1170","16056","8898",NA,NA,NA,NA,NA,NA,NA
"1171","16059","8901",NA,NA,NA,NA,NA,NA,NA
"1172","16063","8618",NA,"00-0037526",NA,NA,NA,NA,NA
"1173","16064","8833",NA,NA,NA,NA,"34503",NA,NA
"1174","16068","8899",NA,NA,NA,NA,NA,NA,NA
"1175","16072","8710","CochJa00","00-0037208",NA,NA,NA,NA,NA
"1176","16075","8683",NA,NA,NA,NA,"34388",NA,NA
"1177","16077","8540",NA,NA,NA,NA,NA,NA,NA
"1178","16080","8676","ShahRa00","00-0037545",NA,"4032473","34659",NA,NA
"1179","16082","8569","MosbAr00","00-0037364",NA,NA,NA,NA,NA
"1180","16086","8379",NA,NA,NA,NA,"34254",NA,NA
"1181","16087","8874",NA,NA,NA,NA,NA,NA,NA
"1182","16088","8641",NA,NA,NA,NA,NA,NA,NA
"1183","16091","8850",NA,NA,NA,NA,NA,NA,NA
"1184","16093","8760",NA,NA,NA,NA,"34673",NA,NA
"1185","16094","8869","RussJJ00","00-0037491",NA,NA,NA,NA,NA
"1186","16095","8893",NA,NA,NA,NA,"34679",NA,NA
"1187","16096","8419","BerrSt00","00-0037581",NA,NA,"34285",NA,NA
"1188","16097","8595",NA,"00-0037172",NA,NA,"34276",NA,NA
"1189","16099","8635","WootCh00","00-0037560",NA,NA,NA,NA,NA
"1190","16101","8687",NA,NA,NA,NA,NA,NA,NA
"1191","16102","8838",NA,NA,NA,NA,NA,NA,NA
"1192","16103","8794",NA,NA,NA,NA,NA,NA,NA
"1193","16113","8583","SmarSt00","00-0037475",NA,"4250764","34637",NA,NA
"1194","16114","8691","JoneVi00","00-0037153",NA,NA,NA,NA,NA
"1195","16115","8536",NA,NA,NA,NA,"34469",NA,NA
"1196","16116","8765",NA,NA,NA,NA,NA,NA,NA
"1197","16117","8719",NA,NA,NA,NA,NA,NA,NA
"1198","16118","8532",NA,NA,NA,NA,"34232",NA,NA
"1199","16119","8546",NA,NA,NA,NA,NA,NA,NA
"1200","16121","8739","ThomKe04","00-0037057",NA,"4038843",NA,NA,NA
"1201","16122","8871",NA,NA,NA,NA,"34517",NA,NA
"1202","16124","8836","RhynFo00","00-0037401",NA,NA,NA,NA,NA
"1203","16125","8928","BaldDa01","00-0038147",NA,NA,"34713",NA,NA
"1204","16127","8625",NA,NA,NA,NA,NA,NA,NA
"1205","16129","8788",NA,NA,NA,NA,NA,NA,NA
"1206","16131","8288",NA,NA,NA,NA,NA,NA,NA
"1207","16132","8578",NA,NA,NA,NA,NA,NA,NA
"1208","16133","8748",NA,NA,NA,NA,NA,NA,NA
"1209","16135","8107","KaliNi00","00-0037031",NA,NA,"33950",NA,NA
"1210","16137","8552",NA,NA,NA,NA,NA,NA,NA
"1211","16138","8620","OlubSe00","00-0037527",NA,NA,NA,NA,NA
"1212","16139","8666",NA,NA,NA,NA,NA,NA,NA
"1213","16140","8889","KwenWi00","00-0037639",NA,NA,NA,NA,NA
"1214","16144","8736",NA,NA,NA,NA,NA,NA,NA
"1215","16145","8752",NA,NA,NA,NA,NA,NA,NA
"1216","16148","9228","YounBr01","00-0039150",NA,NA,"40029",NA,NA
"1217","16149","9999",NA,"00-0039152",NA,NA,"40068",NA,NA
"1218","16150","9758","StroCJ00","00-0039163",NA,NA,"40030",NA,NA
"1219","16151","9998",NA,"00-0038550",NA,NA,"40096",NA,NA
"1220","16152","9229","RichAn03","00-0039164",NA,NA,"40040",NA,NA
"1221","16153","10857",NA,"00-0039107",NA,NA,"40153",NA,NA
"1222","16154","9231",NA,"00-0038598",NA,NA,"40185",NA,NA
"1223","16155","10233",NA,"00-0038637",NA,NA,"40272",NA,NA
"1224","16156","10215",NA,"00-0038998",NA,NA,"40144",NA,NA
"1225","16157","10860",NA,"00-0038911",NA,NA,"40290",NA,NA
"1226","16158","10862",NA,"00-0038583",NA,NA,"40195",NA,NA
