fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jahmyr Gibbs,22968,RB,DET,12.11,0.57,11,13,fef9457e-6497-47de-9bf2-cc3b95929375,jahmyr-gibbs.php,40059,3162723,99.3,99.6,99,https://images.fantasypros.com/images/players/nfl/22968/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22968/headshot/210x210.png,NA,5,Jahmyr Gibbs,2024-05-24,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jonathan Taylor,19217,RB,IND,12.67,2.87,8,18,925195a4-06ba-4e37-ae7d-a3d6a5419139,jonathan-taylor.php,32711,2866395,98.8,99.5,98,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,NA,14,Jonathan Taylor,2024-05-24,IND
/nfl/rankings/best-ball-overall.php,best-overall,bo,Saquon Barkley,17240,RB,PHI,15.44,2.06,12,19,9811b753-347c-467a-b3cb-85937e71e2b9,saquon-barkley.php,30972,2185957,100,99.9,100,https://images.fantasypros.com/images/players/nfl/17240/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17240/headshot/210x210.png,NA,5,Saquon Barkley,2024-05-24,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Marvin Harrison Jr.,23064,WR,ARI,16.33,3.33,12,22,e8da21a8-796d-48a2-b644-57d08983ae01,marvin-harrison-jr.php,40893,26701883,93.5,93.5,0,https://images.fantasypros.com/images/players/nfl/23064/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23064/headshot/210x210.png,NA,11,Marvin Harrison,2024-05-24,ARI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Brandon Aiyuk,19252,WR,SF,18.56,2.83,15,23,c90471cc-fa60-4416-9388-5aebb5d877eb,brandon-aiyuk.php,32695,2967489,98.1,98.2,98,https://images.fantasypros.com/images/players/nfl/19252/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19252/headshot/210x210.png,2,9,Brandon Aiyuk,2024-05-24,SFO
/nfl/rankings/best-ball-overall.php,best-overall,bo,Chris Olave,20111,WR,NO,19.33,1.89,16,22,2375d572-a36c-4365-bb3f-87e156526e2f,chris-olave.php,33966,2963666,98.6,98.2,99,https://images.fantasypros.com/images/players/nfl/20111/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20111/headshot/210x210.png,2,12,Chris Olave,2024-05-24,NOS
/nfl/rankings/best-ball-overall.php,best-overall,bo,Davante Adams,12123,WR,LV,20.78,7.13,15,38,e7d6ae25-bf15-4660-8b37-c37716551de3,davante-adams.php,27581,1893167,99.9,99.7,100,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,-3,10,Davante Adams,2024-05-24,LVR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Drake London,23163,WR,ATL,20.89,6.12,13,31,5053f9ae-15d9-4730-833d-484886b6f890,drake-london.php,33963,3127902,92.6,96.1,89,https://images.fantasypros.com/images/players/nfl/23163/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23163/headshot/210x210.png,NA,12,Drake London,2024-05-24,ATL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Kyren Williams,23059,RB,LAR,23.11,3.54,17,29,19d44771-8f1d-4127-9b7d-230da137f15d,kyren-williams.php,34120,3121836,96.2,99.3,93,https://images.fantasypros.com/images/players/nfl/23059/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23059/headshot/210x210.png,NA,6,Kyren Williams,2024-05-24,LAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,De'Von Achane,23136,RB,MIA,25,4.14,18,30,a4ef921b-8767-4b4f-a651-7675c00f9af0,devon-achane.php,40118,3171161,95.1,96.2,94,https://images.fantasypros.com/images/players/nfl/23136/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23136/headshot/210x210.png,NA,6,DeVon Achane,2024-05-24,MIA
