Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
329,,Laquon TreadwellL. Treadwell MIN,WR109,,265,313,297.4,10.8
330,,Chester RogersC. Rogers IND,WR110,,285,320,308.3,5.2
331,,Vernon DavisV. Davis WAS,TE37,,257,359,298.2,36.5
332,,Cameron Artis-PayneC. Artis-Payne CAR,RB94,,279,354,322.5,12.0
333,,Boston ScottB. Scott PHI,RB95,,121,352,319.4,21.3
334,,Alfred MorrisA. Morris SF,RB96,,282,332,321.0,10.4
335,,Zach ZennerZ. Zenner DET,RB97,,181,332,311.6,21.8
336,,Geoff SwaimG. Swaim DAL,TE38,,209,267,238.0,29.0
337,,Adam ShaheenA. Shaheen CHI,TE39,,271,361,300.8,35.5
338,,Jordan MatthewsJ. Matthews PHI,WR111,,255,346,301.3,32.8
339,,Marcus MurphyM. Murphy BUF,RB98,,299,355,327.9,11.2
340,,C.J. UzomahC. Uzomah CIN,TE40,,241,246,243.5,2.5
341,,Brian HillB. Hill ATL,RB99,,226,358,317.4,20.0
342,,Mike WallaceM. Wallace PHI,WR112,,237,360,288.0,52.4
Tier 14,
343,,Will DisslyW. Dissly SEA,TE41,,236,280,258.0,22.0
344,,Trey QuinnT. Quinn WAS,WR113,,222,300,261.0,39.0
345,,Teddy BridgewaterT. Bridgewater NO,QB35,,214,334,322.0,10.4
346,,San Francisco (SF)SF DST,DST29,,300,342,314.8,16.4
347,,Benjamin WatsonB. Watson NO,TE42,,254,294,274.0,20.0
348,,Tyrod TaylorT. Taylor CLE,QB36,,298,334,328.4,1.7
349,,Cincinnati (CIN)CIN DST,DST30,,291,330,307.3,16.5
350,,Dontrelle InmanD. Inman IND,WR114,,215,357,308.0,65.8
351,,Jacquizz RodgersJ. Rodgers TB,RB100,,306,359,329.8,1.7
352,,DeAndre WashingtonD. Washington OAK,RB101,,292,350,326.3,21.5
353,,Corey ColemanC. Coleman NYG,WR115,,286,299,292.5,6.5
354,,Antonio GatesA. Gates LAC,TE43,,266,325,295.5,29.5
355,,Ryan SwitzerR. Switzer PIT,WR116,,258,343,300.5,42.5
356,,Robert KelleyR. Kelley WAS,RB102,,307,356,324.7,22.2
357,,New York (NYJ)NYJ DST,DST31,,303,318,310.5,7.5
358,,Samaje PerineS. Perine WAS,RB103,,311,349,331.3,15.6
359,,Travis BenjaminT. Benjamin LAC,WR117,,297,336,316.5,19.5
360,,Torrey SmithT. Smith CAR,WR118,,312,329,320.5,8.5
