Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
342,,Rishard MatthewsR. Matthews FA,WR119,,275,360,319.2,21.8
343,,Teddy BridgewaterT. Bridgewater NO,QB37,9,284,362,324.6,19.9
344,,LeGarrette BlountL. Blount FA,RB95,,289,366,319.8,17.6
345,,Cameron Artis-PayneC. Artis-Payne CAR,RB96,7,262,360,328.9,20.2
346,,C.J. UzomahC. Uzomah CIN,TE38,9,161,305,259.2,40.8
347,,Trenton CannonT. Cannon NYJ,RB97,4,259,354,326.1,20.5
348,,Jason WittenJ. Witten DAL,TE39,8,173,347,278.9,53.3
349,,Darren SprolesD. Sproles FA,RB98,,181,360,318.7,22.8
350,,Marcus MurphyM. Murphy BUF,RB99,6,267,361,329.7,21.0
351,,Jesse JamesJ. James DET,TE40,5,180,343,285.3,53.1
352,,Chris IvoryC. Ivory FA,RB100,,287,348,314.8,14.4
