Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
189,,Nick FolesN. Foles JAC,QB27,10,118,254,193.7,23.8,201.0,+12.0
190,,Zay JonesZ. Jones BUF,WR71,6,74,297,195.2,42.4,238.0,+48.0
191,,Los Angeles (LAC)LAC DST,DST6,12,141,330,167.1,24.8,140.0,-51.0
192,,Houston (HOU)HOU DST,DST7,10,145,303,175.7,23.3,167.0,-25.0
193,,Justin TuckerJ. Tucker BAL,K2,8,2,276,184.1,18.2,132.0,-61.0
194,,Marcus MariotaM. Mariota TEN,QB28,11,141,284,199.4,25.9,196.0,+2.0
195,,Harrison ButkerH. Butker KC,K3,12,147,225,185.6,9.3,148.0,-47.0
Tier 11,
196,,Chase EdmondsC. Edmonds ARI,RB63,12,119,316,209.5,38.7,260.0,+64.0
197,,Cleveland (CLE)CLE DST,DST8,7,137,250,184.6,20.0,162.0,-35.0
198,,Stephen GostkowskiS. Gostkowski NE,K4,10,148,252,192.0,13.1,164.0,-34.0
199,,Alexander MattisonA. Mattison MIN,RB64,12,129,354,201.6,49.7,169.0,-30.0
200,,Tyler EifertT. Eifert CIN,TE25,9,108,338,206.0,44.7,199.0,-1.0
201,,New Orleans (NO)NO DST,DST9,9,140,249,192.9,18.0,185.0,-16.0
202,,Trey QuinnT. Quinn WAS,WR72,10,93,298,196.1,49.5,280.0,+78.0
203,,Randall CobbR. Cobb DAL,WR73,8,101,331,208.1,34.7,188.0,-15.0
204,,Taylor GabrielT. Gabriel CHI,WR74,6,103,306,206.4,30.0,271.0,+67.0
205,,Marquise BrownM. Brown BAL,WR75,8,88,366,202.0,46.0,171.0,-34.0
206,,Rex BurkheadR. Burkhead NE,RB65,10,115,334,201.7,38.1,253.0,+47.0
207,,Mecole HardmanM. Hardman KC,WR76,12,67,364,212.3,52.2,165.0,-42.0
208,,Marqise LeeM. Lee JAC,WR77,10,97,344,205.7,45.0,255.0,+47.0
209,,Gerald EverettG. Everett LAR,TE26,9,121,305,206.1,36.8,268.0,+59.0
210,,Denver (DEN)DEN DST,DST10,10,139,248,200.7,13.9,157.0,-53.0
211,,Wil LutzW. Lutz NO,K5,9,171,253,203.2,12.1,160.0,-51.0
212,,A.J. BrownA. Brown TEN,WR78,11,67,315,209.7,32.9,208.0,-4.0
213,,Andy IsabellaA. Isabella ARI,WR79,12,107,326,215.7,44.2,230.0,+17.0
214,,New England (NE)NE DST,DST11,10,140,266,208.8,18.2,181.0,-33.0
