Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
200,,Daurice FountainD. Fountain IND,6,147,182,169.3,15.8,,
201,,Jaleel ScottJ. Scott BAL,8,148,173,160.5,12.5,,
202,,Da'Mari ScottD. Scott BUF,6,160,161,160.5,0.5,,
203,,Brandon ReillyB. Reilly DET,5,159,163,161.0,2.0,,
204,,Brandon ZylstraB. Zylstra MIN,12,170,173,172.0,1.4,,
205,,Javon WimsJ. Wims CHI,6,162,164,163.0,1.0,,
206,,Trevor DavisT. Davis GB,11,153,188,174.0,15.1,,
207,,Scott MillerS. Miller TB,7,164,167,165.5,1.5,139.0,-68.0
208,,Mike ThomasM. Thomas LAR,9,151,181,166.0,15.0,,
209,,Olabisi JohnsonO. Johnson MIN,12,165,170,167.5,2.5,,
210,,Juwann WinfreeJ. Winfree DEN,10,142,194,168.0,26.0,160.0,-50.0
211,,Khadarel HodgeK. Hodge LAR,9,168,169,168.5,0.5,,
212,,Isaiah FordI. Ford MIA,5,164,174,169.0,5.0,,
213,,Jaelen StrongJ. Strong CLE,7,162,178,170.0,8.0,,
214,,Isaac WhitneyI. Whitney HOU,10,170,170,170.0,0.0,,
215,,Marvin HallM. Hall CHI,6,174,181,178.0,2.9,,
216,,Rashad GreeneR. Greene FA,,172,172,172.0,0.0,,
217,,Marcus JohnsonM. Johnson IND,6,163,187,175.0,12.0,,
218,,Brian QuickB. Quick WAS,10,175,178,176.5,1.5,,
219,,Jehu ChessonJ. Chesson WAS,10,181,184,182.3,1.2,,
220,,Ray-Ray McCloudR. McCloud BUF,6,174,182,178.0,4.0,,
221,,Darius JenningsD. Jennings TEN,11,176,180,178.0,2.0,,
222,,Geremy DavisG. Davis LAC,12,180,182,181.0,1.0,,
223,,DaMarkus LodgeD. Lodge TB,7,182,189,185.5,3.5,,
